GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xiaohongshu,com.xiaohongshu.controller,NotificationController,6,3,0,0,1,1,1,1,1,1
xiaohongshu,com.xiaohongshu.controller,AuthController,267,3,12,0,53,1,16,1,10,1
xiaohongshu,com.xiaohongshu.controller,AIController,78,3,6,0,17,1,5,1,2,1
xiaohongshu,com.xiaohongshu.controller,PostController,929,18,30,0,165,7,34,1,19,1
xiaohongshu,com.xiaohongshu.controller,FileController,161,0,16,0,43,0,13,0,5,0
xiaohongshu,com.xiaohongshu.service,PostService,608,241,23,17,125,55,28,22,14,16
xiaohongshu,com.xiaohongshu.service,AIService,23,167,5,9,7,35,6,6,1,4
xiaohongshu,com.xiaohongshu.service,NotificationService,77,273,12,18,18,60,9,11,0,5
xiaohongshu,com.xiaohongshu.service,UserService,143,163,7,15,29,34,10,15,6,8
xiaohongshu,com.xiaohongshu,DataInitializer,54,0,2,0,15,0,4,0,3,0
xiaohongshu,com.xiaohongshu,DbConnectionTest,81,0,2,0,22,0,3,0,2,0
xiaohongshu,com.xiaohongshu,XiaohongshuApplication,5,3,0,0,2,1,1,1,1,1
xiaohongshu,com.xiaohongshu.config,WebConfig,0,68,0,0,0,8,0,3,0,3
xiaohongshu,com.xiaohongshu.config,SecurityConfig,59,0,0,0,9,0,6,0,6,0
xiaohongshu,com.xiaohongshu.entity,Collection,191,11,38,0,10,5,30,3,11,3
xiaohongshu,com.xiaohongshu.entity,Comment,317,46,70,0,7,20,44,13,9,13
xiaohongshu,com.xiaohongshu.entity,User,269,46,62,0,2,20,37,13,6,13
xiaohongshu,com.xiaohongshu.entity,Like,171,31,38,0,2,13,24,9,5,9
xiaohongshu,com.xiaohongshu.entity,Follow,174,28,38,0,3,12,25,8,6,8
xiaohongshu,com.xiaohongshu.entity,Post,393,48,86,0,13,20,55,14,12,14
xiaohongshu,com.xiaohongshu.dto,NotificationDTO,272,24,54,0,18,9,42,2,15,2
